Zeta Potential,Power
-1.48e+2,5.85e-3
-1.46e+2,6.12e-3
-1.45e+2,6.41e-3
-1.43e+2,6.71e-3
-1.42e+2,7.04e-3
-1.41e+2,7.40e-3
-1.39e+2,7.78e-3
-1.38e+2,8.19e-3
-1.36e+2,8.63e-3
-1.35e+2,9.11e-3
-1.33e+2,9.64e-3
-1.32e+2,1.02e-2
-1.31e+2,1.08e-2
-1.29e+2,1.15e-2
-1.28e+2,1.23e-2
-1.26e+2,1.31e-2
-1.25e+2,1.40e-2
-1.23e+2,1.50e-2
-1.22e+2,1.61e-2
-1.21e+2,1.73e-2
-1.19e+2,1.87e-2
-1.18e+2,2.03e-2
-1.16e+2,2.20e-2
-1.15e+2,2.40e-2
-1.13e+2,2.63e-2
-1.12e+2,2.89e-2
-1.11e+2,3.20e-2
-1.09e+2,3.55e-2
-1.08e+2,3.96e-2
-1.06e+2,4.45e-2
-1.05e+2,5.03e-2
-1.03e+2,5.73e-2
-1.02e+2,6.59e-2
-1.01e+2,7.65e-2
-9.92e+1,8.97e-2
-9.77e+1,1.07e-1
-9.63e+1,1.28e-1
-9.49e+1,1.57e-1
-9.34e+1,1.96e-1
-9.20e+1,2.49e-1
-9.06e+1,3.23e-1
-8.92e+1,4.27e-1
-8.77e+1,5.70e-1
-8.63e+1,7.49e-1
-8.49e+1,9.23e-1
-8.34e+1,1.00e+0
-8.20e+1,9.23e-1
-8.06e+1,7.49e-1
-7.92e+1,5.70e-1
-7.77e+1,4.27e-1
-7.63e+1,3.23e-1
-7.49e+1,2.49e-1
-7.35e+1,1.96e-1
-7.20e+1,1.57e-1
-7.06e+1,1.28e-1
-6.92e+1,1.07e-1
-6.77e+1,8.97e-2
-6.63e+1,7.65e-2
-6.49e+1,6.59e-2
-6.35e+1,5.73e-2
-6.20e+1,5.03e-2
-6.06e+1,4.45e-2
-5.92e+1,3.96e-2
-5.77e+1,3.55e-2
-5.63e+1,3.20e-2
-5.49e+1,2.89e-2
-5.35e+1,2.63e-2
-5.20e+1,2.40e-2
-5.06e+1,2.20e-2
-4.92e+1,2.03e-2
-4.77e+1,1.87e-2
-4.63e+1,1.73e-2
-4.49e+1,1.61e-2
-4.35e+1,1.50e-2
-4.20e+1,1.40e-2
-4.06e+1,1.31e-2
