Zeta Potential,Power
-1.48e+2,1.84e-6
-1.47e+2,2.12e-6
-1.46e+2,2.72e-6
-1.44e+2,3.38e-6
-1.43e+2,3.79e-6
-1.41e+2,3.94e-6
-1.40e+2,4.28e-6
-1.38e+2,5.59e-6
-1.37e+2,7.59e-6
-1.36e+2,8.78e-6
-1.34e+2,9.26e-6
-1.33e+2,1.13e-5
-1.31e+2,1.59e-5
-1.30e+2,2.21e-5
-1.28e+2,2.93e-5
-1.27e+2,3.56e-5
-1.26e+2,3.64e-5
-1.24e+2,3.07e-5
-1.23e+2,2.36e-5
-1.21e+2,1.87e-5
-1.20e+2,1.58e-5
-1.18e+2,1.47e-5
-1.17e+2,1.56e-5
-1.16e+2,1.75e-5
-1.14e+2,2.04e-5
-1.13e+2,2.64e-5
-1.11e+2,3.44e-5
-1.10e+2,4.01e-5
-1.08e+2,4.25e-5
-1.07e+2,4.30e-5
-1.06e+2,4.42e-5
-1.04e+2,6.39e-5
-1.03e+2,1.34e-4
-1.01e+2,2.60e-4
-9.99e+1,3.83e-4
-9.85e+1,4.06e-4
-9.71e+1,3.18e-4
-9.56e+1,2.47e-4
-9.42e+1,3.19e-4
-9.28e+1,5.11e-4
-9.13e+1,7.03e-4
-8.99e+1,8.67e-4
-8.85e+1,1.10e-3
-8.71e+1,1.49e-3
-8.56e+1,2.09e-3
-8.42e+1,2.90e-3
-8.28e+1,3.75e-3
-8.14e+1,4.84e-3
-7.99e+1,7.27e-3
-7.85e+1,1.19e-2
-7.71e+1,1.83e-2
-7.56e+1,2.52e-2
-7.42e+1,2.93e-2
-7.28e+1,2.88e-2
-7.14e+1,2.76e-2
-6.99e+1,3.06e-2
-6.85e+1,4.22e-2
-6.71e+1,7.88e-2
-6.57e+1,1.60e-1
-6.42e+1,2.86e-1
-6.28e+1,4.60e-1
-6.14e+1,6.70e-1
-5.99e+1,8.51e-1
-5.85e+1,9.64e-1
-5.71e+1,1.00e+0
-5.57e+1,8.85e-1
-5.42e+1,6.07e-1
-5.28e+1,3.32e-1
-5.14e+1,1.95e-1
-5.00e+1,1.61e-1
-4.85e+1,1.50e-1
-4.71e+1,1.38e-1
-4.57e+1,1.22e-1
-4.42e+1,9.49e-2
-4.28e+1,6.15e-2
-4.14e+1,3.45e-2
-4.00e+1,2.00e-2
-3.85e+1,1.47e-2
-3.71e+1,1.35e-2
-3.57e+1,1.36e-2
-3.43e+1,1.47e-2
-3.28e+1,1.83e-2
-3.14e+1,2.47e-2
-3.00e+1,2.81e-2
-2.85e+1,2.27e-2
-2.71e+1,1.21e-2
-2.57e+1,4.25e-3
-2.43e+1,1.57e-3
-2.28e+1,1.38e-3
-2.14e+1,1.51e-3
-2.00e+1,1.36e-3
-1.86e+1,1.01e-3
-1.71e+1,6.99e-4
-1.57e+1,4.30e-4
-1.43e+1,2.05e-4
-1.28e+1,9.63e-5
-1.14e+1,8.64e-5
-9.99e+0,9.73e-5
-8.56e+0,9.42e-5
-7.14e+0,8.15e-5
-5.71e+0,6.79e-5
-4.28e+0,5.53e-5
-2.85e+0,4.24e-5
-1.43e+0,3.40e-5
0.00e+0,3.60e-5
1.43e+0,4.28e-5
2.85e+0,4.20e-5
4.28e+0,3.17e-5
5.71e+0,2.24e-5
7.14e+0,2.08e-5
8.56e+0,2.36e-5
9.99e+0,2.52e-5
1.14e+1,2.56e-5
1.28e+1,2.48e-5
1.43e+1,2.14e-5
1.57e+1,1.83e-5
1.71e+1,2.01e-5
1.86e+1,2.49e-5
2.00e+1,2.66e-5
2.14e+1,2.19e-5
2.28e+1,1.35e-5
2.43e+1,7.27e-6
2.57e+1,5.85e-6
2.71e+1,6.90e-6
2.85e+1,7.28e-6
3.00e+1,6.86e-6
3.14e+1,7.51e-6
3.28e+1,1.19e-5
3.43e+1,2.62e-5
3.57e+1,5.38e-5
3.71e+1,8.52e-5
3.85e+1,1.08e-4
4.00e+1,1.18e-4
4.14e+1,1.15e-4
4.28e+1,1.14e-4
4.42e+1,1.48e-4
4.57e+1,2.14e-4
4.71e+1,2.62e-4
4.85e+1,2.79e-4
5.00e+1,3.03e-4
5.14e+1,3.52e-4
5.28e+1,4.26e-4
5.42e+1,5.17e-4
5.57e+1,5.72e-4
5.71e+1,5.45e-4
5.85e+1,4.78e-4
5.99e+1,4.29e-4
6.14e+1,3.68e-4
6.28e+1,2.64e-4
6.42e+1,1.66e-4
6.57e+1,1.14e-4
6.71e+1,9.40e-5
6.85e+1,8.12e-5
6.99e+1,7.60e-5
7.14e+1,1.10e-4
7.28e+1,2.02e-4
7.42e+1,2.88e-4
7.56e+1,2.80e-4
7.71e+1,1.85e-4
7.85e+1,8.78e-5
7.99e+1,3.47e-5
8.14e+1,1.68e-5
8.28e+1,1.27e-5
8.42e+1,1.18e-5
8.56e+1,1.03e-5
8.71e+1,7.15e-6
8.85e+1,3.79e-6
8.99e+1,2.05e-6
9.13e+1,1.70e-6
9.28e+1,1.58e-6
9.42e+1,1.28e-6
9.56e+1,1.03e-6
