Zeta Potential,Power
-1.53e+2,6.50e-3
-1.52e+2,6.78e-3
-1.50e+2,7.07e-3
-1.49e+2,7.39e-3
-1.47e+2,7.73e-3
-1.46e+2,8.09e-3
-1.44e+2,8.47e-3
-1.43e+2,8.89e-3
-1.41e+2,9.33e-3
-1.40e+2,9.81e-3
-1.38e+2,1.03e-2
-1.37e+2,1.09e-2
-1.35e+2,1.15e-2
-1.34e+2,1.22e-2
-1.32e+2,1.29e-2
-1.31e+2,1.37e-2
-1.29e+2,1.45e-2
-1.28e+2,1.54e-2
-1.27e+2,1.65e-2
-1.25e+2,1.76e-2
-1.24e+2,1.89e-2
-1.22e+2,2.03e-2
-1.21e+2,2.18e-2
-1.19e+2,2.35e-2
-1.18e+2,2.55e-2
-1.16e+2,2.77e-2
-1.15e+2,3.02e-2
-1.13e+2,3.30e-2
-1.12e+2,3.63e-2
-1.10e+2,4.01e-2
-1.09e+2,4.45e-2
-1.07e+2,4.96e-2
-1.06e+2,5.56e-2
-1.04e+2,6.28e-2
-1.03e+2,7.14e-2
-1.01e+2,8.19e-2
-9.99e+1,9.48e-2
-9.84e+1,1.11e-1
-9.69e+1,1.31e-1
-9.55e+1,1.57e-1
-9.40e+1,1.91e-1
-9.25e+1,2.35e-1
-9.10e+1,2.95e-1
-8.96e+1,3.76e-1
-8.81e+1,4.85e-1
-8.66e+1,6.26e-1
-8.51e+1,7.90e-1
-8.36e+1,9.38e-1
-8.22e+1,1.00e+0
-8.07e+1,9.38e-1
-7.92e+1,7.90e-1
-7.77e+1,6.26e-1
-7.63e+1,4.85e-1
-7.48e+1,3.76e-1
-7.33e+1,2.95e-1
-7.18e+1,2.35e-1
-7.03e+1,1.91e-1
-6.89e+1,1.57e-1
-6.74e+1,1.31e-1
-6.59e+1,1.11e-1
-6.44e+1,9.48e-2
-6.30e+1,8.19e-2
-6.15e+1,7.14e-2
-6.00e+1,6.28e-2
-5.85e+1,5.56e-2
-5.70e+1,4.96e-2
-5.56e+1,4.45e-2
-5.41e+1,4.01e-2
-5.26e+1,3.63e-2
-5.11e+1,3.30e-2
-4.97e+1,3.02e-2
-4.82e+1,2.77e-2
-4.67e+1,2.55e-2
-4.52e+1,2.35e-2
-4.37e+1,2.18e-2
-4.23e+1,2.03e-2
-4.08e+1,1.89e-2
-3.93e+1,1.76e-2
-3.78e+1,1.65e-2
-3.63e+1,1.54e-2
-3.49e+1,1.45e-2
-3.34e+1,1.37e-2
-3.19e+1,1.29e-2
-3.04e+1,1.22e-2
-2.90e+1,1.15e-2
-2.75e+1,1.09e-2
-2.60e+1,1.03e-2
-2.45e+1,9.81e-3
-2.30e+1,9.33e-3
-2.16e+1,8.89e-3
-2.01e+1,8.47e-3
-1.86e+1,8.09e-3
-1.71e+1,7.73e-3
-1.57e+1,7.39e-3
-1.42e+1,7.07e-3
-1.27e+1,6.78e-3
-1.12e+1,6.50e-3
-9.75e+0,6.24e-3
-8.27e+0,5.99e-3
-6.79e+0,5.76e-3
-5.31e+0,5.54e-3
-3.84e+0,5.34e-3
-2.36e+0,5.14e-3
-8.81e-1,4.96e-3
5.97e-1,4.78e-3
2.07e+0,4.62e-3
3.55e+0,4.46e-3
5.03e+0,4.31e-3
6.51e+0,4.17e-3
7.99e+0,4.03e-3
9.46e+0,3.91e-3
1.09e+1,3.78e-3
1.24e+1,3.67e-3
1.39e+1,3.55e-3
1.54e+1,3.45e-3
1.69e+1,3.35e-3
1.83e+1,3.25e-3
1.98e+1,3.16e-3
2.13e+1,3.07e-3
2.28e+1,2.98e-3
2.42e+1,2.90e-3
2.57e+1,2.82e-3
2.72e+1,2.74e-3
2.87e+1,2.67e-3
3.02e+1,2.60e-3
3.16e+1,2.54e-3
3.31e+1,2.47e-3
3.46e+1,2.41e-3
3.61e+1,2.35e-3
3.75e+1,2.29e-3
3.90e+1,2.24e-3
4.05e+1,2.18e-3
4.20e+1,2.13e-3
