Zeta Potential,Power
-1.51e+2,1.64e-6
-1.50e+2,2.35e-6
-1.48e+2,2.52e-6
-1.47e+2,2.89e-6
-1.45e+2,3.94e-6
-1.44e+2,4.74e-6
-1.42e+2,4.43e-6
-1.41e+2,3.49e-6
-1.39e+2,2.62e-6
-1.38e+2,2.16e-6
-1.37e+2,3.07e-6
-1.35e+2,5.66e-6
-1.34e+2,7.68e-6
-1.32e+2,7.27e-6
-1.31e+2,6.09e-6
-1.29e+2,5.69e-6
-1.28e+2,5.06e-6
-1.26e+2,3.57e-6
-1.25e+2,2.43e-6
-1.24e+2,3.18e-6
-1.22e+2,6.44e-6
-1.21e+2,1.28e-5
-1.19e+2,2.41e-5
-1.18e+2,3.96e-5
-1.16e+2,5.12e-5
-1.15e+2,5.12e-5
-1.13e+2,4.05e-5
-1.12e+2,2.60e-5
-1.10e+2,1.45e-5
-1.09e+2,9.12e-6
-1.08e+2,9.29e-6
-1.06e+2,1.65e-5
-1.05e+2,3.54e-5
-1.03e+2,5.84e-5
-1.02e+2,6.46e-5
-1.00e+2,4.94e-5
-9.89e+1,3.56e-5
-9.74e+1,3.73e-5
-9.60e+1,4.24e-5
-9.45e+1,3.83e-5
-9.31e+1,2.96e-5
-9.16e+1,2.63e-5
-9.02e+1,3.23e-5
-8.87e+1,7.00e-5
-8.73e+1,2.20e-4
-8.58e+1,5.31e-4
-8.44e+1,8.71e-4
-8.29e+1,1.03e-3
-8.15e+1,9.68e-4
-8.00e+1,9.19e-4
-7.86e+1,1.15e-3
-7.71e+1,1.77e-3
-7.57e+1,2.75e-3
-7.42e+1,3.71e-3
-7.28e+1,4.04e-3
-7.13e+1,3.96e-3
-6.99e+1,5.82e-3
-6.84e+1,1.28e-2
-6.70e+1,2.47e-2
-6.55e+1,3.69e-2
-6.40e+1,4.40e-2
-6.26e+1,4.87e-2
-6.11e+1,6.05e-2
-5.97e+1,8.36e-2
-5.82e+1,1.13e-1
-5.68e+1,1.48e-1
-5.53e+1,2.03e-1
-5.39e+1,3.13e-1
-5.24e+1,4.71e-1
-5.10e+1,5.79e-1
-4.95e+1,6.07e-1
-4.81e+1,6.95e-1
-4.66e+1,8.95e-1
-4.52e+1,1.00e+0
-4.37e+1,8.51e-1
-4.23e+1,5.91e-1
-4.08e+1,4.35e-1
-3.94e+1,3.68e-1
-3.79e+1,2.69e-1
-3.65e+1,1.56e-1
-3.50e+1,9.79e-2
-3.36e+1,7.90e-2
-3.21e+1,6.70e-2
-3.07e+1,8.07e-2
-2.92e+1,1.25e-1
-2.78e+1,1.47e-1
-2.63e+1,1.11e-1
-2.49e+1,5.29e-2
-2.34e+1,1.74e-2
-2.20e+1,7.57e-3
-2.05e+1,6.54e-3
-1.91e+1,5.90e-3
-1.76e+1,4.12e-3
-1.62e+1,2.08e-3
-1.47e+1,8.90e-4
-1.33e+1,5.50e-4
-1.18e+1,4.74e-4
-1.04e+1,3.69e-4
-8.91e+0,2.84e-4
-7.46e+0,2.68e-4
-6.01e+0,2.41e-4
-4.56e+0,1.59e-4
-3.11e+0,8.03e-5
-1.66e+0,5.48e-5
-2.09e-1,6.50e-5
1.24e+0,6.93e-5
2.69e+0,5.70e-5
4.14e+0,5.18e-5
5.59e+0,6.43e-5
7.05e+0,7.83e-5
8.50e+0,8.57e-5
9.95e+0,8.91e-5
1.14e+1,7.96e-5
1.28e+1,5.36e-5
1.43e+1,3.60e-5
1.58e+1,5.50e-5
1.72e+1,9.93e-5
1.87e+1,1.21e-4
2.01e+1,9.56e-5
2.16e+1,5.12e-5
2.30e+1,3.20e-5
2.45e+1,5.70e-5
2.59e+1,1.19e-4
2.74e+1,1.78e-4
2.88e+1,1.84e-4
3.03e+1,1.49e-4
3.17e+1,1.23e-4
3.32e+1,1.13e-4
3.46e+1,1.03e-4
3.61e+1,1.39e-4
3.75e+1,2.70e-4
3.90e+1,4.26e-4
4.04e+1,5.13e-4
4.19e+1,5.79e-4
4.33e+1,7.11e-4
4.48e+1,8.38e-4
4.62e+1,8.25e-4
4.77e+1,7.08e-4
4.91e+1,6.50e-4
5.06e+1,6.52e-4
5.20e+1,5.78e-4
5.35e+1,4.16e-4
5.49e+1,2.56e-4
5.64e+1,1.57e-4
5.78e+1,1.23e-4
5.93e+1,1.09e-4
6.07e+1,7.61e-5
6.22e+1,3.73e-5
6.36e+1,1.93e-5
6.51e+1,1.75e-5
6.65e+1,1.79e-5
6.80e+1,1.76e-5
6.94e+1,1.74e-5
7.09e+1,1.64e-5
7.23e+1,1.40e-5
7.38e+1,1.07e-5
7.52e+1,7.16e-6
7.67e+1,4.91e-6
7.81e+1,5.94e-6
7.96e+1,9.55e-6
8.10e+1,1.19e-5
8.25e+1,1.04e-5
8.39e+1,6.61e-6
8.54e+1,3.26e-6
8.68e+1,1.34e-6
8.83e+1,4.72e-7
8.97e+1,2.05e-7
9.12e+1,3.10e-7
9.26e+1,6.61e-7
9.41e+1,9.32e-7
9.56e+1,8.19e-7
9.70e+1,4.68e-7
9.85e+1,2.26e-7
9.99e+1,2.01e-7
1.01e+2,2.96e-7
1.03e+2,4.18e-7
1.04e+2,5.51e-7
1.06e+2,7.57e-7
1.07e+2,1.01e-6
1.09e+2,1.08e-6
1.10e+2,9.37e-7
1.12e+2,8.41e-7
1.13e+2,8.47e-7
1.14e+2,7.58e-7
1.16e+2,6.84e-7
1.17e+2,9.07e-7
1.19e+2,1.34e-6
1.20e+2,1.65e-6
1.22e+2,1.63e-6
1.23e+2,1.28e-6
1.25e+2,7.66e-7
1.26e+2,3.53e-7
1.27e+2,1.65e-7
1.29e+2,1.23e-7
1.30e+2,1.43e-7
1.32e+2,1.90e-7
1.33e+2,2.16e-7
1.35e+2,2.30e-7
1.36e+2,3.22e-7
1.38e+2,5.23e-7
1.39e+2,7.31e-7
1.41e+2,8.03e-7
1.42e+2,6.76e-7
1.43e+2,4.31e-7
1.45e+2,2.24e-7
1.46e+2,1.27e-7
