Zeta Potential,Power
-1.53e+2,3.02e-2
-1.52e+2,3.14e-2
-1.50e+2,3.26e-2
-1.49e+2,3.39e-2
-1.47e+2,3.53e-2
-1.46e+2,3.68e-2
-1.44e+2,3.84e-2
-1.43e+2,4.01e-2
-1.41e+2,4.19e-2
-1.40e+2,4.39e-2
-1.38e+2,4.59e-2
-1.37e+2,4.81e-2
-1.36e+2,5.05e-2
-1.34e+2,5.31e-2
-1.33e+2,5.58e-2
-1.31e+2,5.88e-2
-1.30e+2,6.20e-2
-1.28e+2,6.54e-2
-1.27e+2,6.92e-2
-1.25e+2,7.32e-2
-1.24e+2,7.77e-2
-1.22e+2,8.25e-2
-1.21e+2,8.78e-2
-1.19e+2,9.35e-2
-1.18e+2,9.99e-2
-1.17e+2,1.07e-1
-1.15e+2,1.15e-1
-1.14e+2,1.23e-1
-1.12e+2,1.33e-1
-1.11e+2,1.43e-1
-1.09e+2,1.55e-1
-1.08e+2,1.68e-1
-1.06e+2,1.83e-1
-1.05e+2,2.00e-1
-1.03e+2,2.19e-1
-1.02e+2,2.40e-1
-1.00e+2,2.64e-1
-9.90e+1,2.92e-1
-9.75e+1,3.24e-1
-9.60e+1,3.60e-1
-9.46e+1,4.01e-1
-9.31e+1,4.47e-1
-9.17e+1,5.00e-1
-9.02e+1,5.58e-1
-8.87e+1,6.23e-1
-8.73e+1,6.92e-1
-8.58e+1,7.64e-1
-8.43e+1,8.35e-1
-8.29e+1,9.00e-1
-8.14e+1,9.53e-1
-8.00e+1,9.88e-1
-7.85e+1,1.00e+0
-7.70e+1,9.88e-1
-7.56e+1,9.53e-1
-7.41e+1,9.00e-1
-7.26e+1,8.35e-1
-7.12e+1,7.64e-1
-6.97e+1,6.92e-1
-6.83e+1,6.23e-1
-6.68e+1,5.58e-1
-6.53e+1,5.00e-1
-6.39e+1,4.47e-1
-6.24e+1,4.01e-1
-6.09e+1,3.60e-1
-5.95e+1,3.24e-1
-5.80e+1,2.92e-1
-5.66e+1,2.64e-1
-5.51e+1,2.40e-1
-5.36e+1,2.19e-1
-5.22e+1,2.00e-1
-5.07e+1,1.83e-1
-4.92e+1,1.68e-1
-4.78e+1,1.55e-1
-4.63e+1,1.43e-1
-4.49e+1,1.33e-1
-4.34e+1,1.23e-1
-4.19e+1,1.15e-1
-4.05e+1,1.07e-1
-3.90e+1,9.99e-2
-3.75e+1,9.35e-2
-3.61e+1,8.78e-2
-3.46e+1,8.25e-2
-3.32e+1,7.77e-2
-3.17e+1,7.32e-2
-3.02e+1,6.92e-2
-2.88e+1,6.54e-2
-2.73e+1,6.20e-2
-2.58e+1,5.88e-2
-2.44e+1,5.58e-2
-2.29e+1,5.31e-2
-2.15e+1,5.05e-2
-2.00e+1,4.81e-2
-1.85e+1,4.59e-2
-1.71e+1,4.39e-2
-1.56e+1,4.19e-2
-1.41e+1,4.01e-2
-1.27e+1,3.84e-2
-1.12e+1,3.68e-2
-9.75e+0,3.53e-2
-8.29e+0,3.39e-2
-6.83e+0,3.26e-2
-5.36e+0,3.14e-2
-3.90e+0,3.02e-2
-2.44e+0,2.91e-2
-9.75e-1,2.80e-2
4.88e-1,2.70e-2
1.95e+0,2.61e-2
3.41e+0,2.52e-2
4.88e+0,2.43e-2
6.34e+0,2.35e-2
7.80e+0,2.27e-2
9.26e+0,2.20e-2
1.07e+1,2.13e-2
1.22e+1,2.06e-2
1.37e+1,2.00e-2
1.51e+1,1.94e-2
1.66e+1,1.88e-2
1.80e+1,1.82e-2
1.95e+1,1.77e-2
2.10e+1,1.72e-2
2.24e+1,1.67e-2
2.39e+1,1.62e-2
2.54e+1,1.58e-2
2.68e+1,1.54e-2
2.83e+1,1.50e-2
2.97e+1,1.46e-2
3.12e+1,1.42e-2
3.27e+1,1.38e-2
3.41e+1,1.35e-2
3.56e+1,1.31e-2
3.71e+1,1.28e-2
3.85e+1,1.25e-2
4.00e+1,1.22e-2
4.14e+1,1.19e-2
4.29e+1,1.16e-2
4.44e+1,1.13e-2
4.58e+1,1.11e-2
4.73e+1,1.08e-2
4.88e+1,1.06e-2
5.02e+1,1.03e-2
5.17e+1,1.01e-2
5.31e+1,9.89e-3
5.46e+1,9.68e-3
5.61e+1,9.47e-3
5.75e+1,9.27e-3
5.90e+1,9.07e-3
6.05e+1,8.89e-3
