Zeta Potential,Power
-1.50e+2,6.00e-7
-1.48e+2,8.52e-6
-1.47e+2,1.47e-5
-1.45e+2,1.64e-5
-1.44e+2,1.29e-5
-1.42e+2,8.10e-6
-1.41e+2,6.64e-6
-1.40e+2,9.27e-6
-1.38e+2,1.26e-5
-1.37e+2,1.38e-5
-1.35e+2,1.33e-5
-1.34e+2,1.53e-5
-1.32e+2,3.13e-5
-1.31e+2,6.91e-5
-1.29e+2,1.08e-4
-1.28e+2,1.13e-4
-1.27e+2,8.90e-5
-1.25e+2,6.80e-5
-1.24e+2,6.61e-5
-1.22e+2,6.83e-5
-1.21e+2,5.93e-5
-1.19e+2,4.91e-5
-1.18e+2,5.86e-5
-1.17e+2,8.78e-5
-1.15e+2,1.15e-4
-1.14e+2,1.20e-4
-1.12e+2,1.01e-4
-1.11e+2,7.59e-5
-1.09e+2,7.32e-5
-1.08e+2,9.84e-5
-1.07e+2,1.25e-4
-1.05e+2,1.24e-4
-1.04e+2,1.04e-4
-1.02e+2,9.79e-5
-1.01e+2,1.31e-4
-9.94e+1,2.28e-4
-9.80e+1,4.67e-4
-9.66e+1,8.68e-4
-9.52e+1,1.22e-3
-9.37e+1,1.30e-3
-9.23e+1,1.41e-3
-9.09e+1,2.16e-3
-8.94e+1,3.85e-3
-8.80e+1,6.33e-3
-8.66e+1,8.91e-3
-8.51e+1,1.02e-2
-8.37e+1,9.71e-3
-8.23e+1,1.01e-2
-8.08e+1,1.60e-2
-7.94e+1,2.69e-2
-7.80e+1,3.36e-2
-7.66e+1,3.34e-2
-7.51e+1,4.56e-2
-7.37e+1,8.41e-2
-7.23e+1,1.28e-1
-7.08e+1,1.66e-1
-6.94e+1,2.39e-1
-6.80e+1,3.74e-1
-6.65e+1,4.94e-1
-6.51e+1,4.87e-1
-6.37e+1,3.60e-1
-6.22e+1,2.60e-1
-6.08e+1,3.57e-1
-5.94e+1,6.59e-1
-5.79e+1,9.32e-1
-5.65e+1,1.00e+0
-5.51e+1,9.89e-1
-5.37e+1,9.90e-1
-5.22e+1,8.66e-1
-5.08e+1,5.95e-1
-4.94e+1,3.48e-1
-4.79e+1,2.21e-1
-4.65e+1,1.64e-1
-4.51e+1,1.20e-1
-4.36e+1,8.48e-2
-4.22e+1,7.12e-2
-4.08e+1,6.73e-2
-3.93e+1,5.51e-2
-3.79e+1,3.73e-2
-3.65e+1,2.41e-2
-3.51e+1,1.74e-2
-3.36e+1,1.70e-2
-3.22e+1,2.07e-2
-3.08e+1,2.10e-2
-2.93e+1,1.47e-2
-2.79e+1,7.04e-3
-2.65e+1,2.93e-3
-2.50e+1,1.79e-3
-2.36e+1,1.78e-3
-2.22e+1,2.19e-3
-2.07e+1,2.44e-3
-1.93e+1,2.00e-3
-1.79e+1,1.23e-3
-1.65e+1,8.23e-4
-1.50e+1,9.58e-4
-1.36e+1,1.25e-3
-1.22e+1,1.27e-3
-1.07e+1,8.98e-4
-9.30e+0,4.30e-4
-7.87e+0,1.57e-4
-6.44e+0,9.66e-5
-5.01e+0,1.68e-4
-3.58e+0,4.04e-4
-2.15e+0,7.77e-4
-7.15e-1,9.90e-4
7.15e-1,8.08e-4
2.15e+0,4.16e-4
3.58e+0,1.37e-4
5.01e+0,3.80e-5
6.44e+0,1.95e-5
7.87e+0,2.17e-5
9.30e+0,3.34e-5
1.07e+1,4.58e-5
1.22e+1,4.85e-5
1.36e+1,3.97e-5
1.50e+1,2.96e-5
1.65e+1,3.02e-5
1.79e+1,4.17e-5
1.93e+1,5.01e-5
2.07e+1,4.58e-5
2.22e+1,3.47e-5
2.36e+1,2.67e-5
2.50e+1,2.90e-5
2.65e+1,4.61e-5
2.79e+1,7.02e-5
2.93e+1,8.06e-5
3.08e+1,6.81e-5
3.22e+1,4.56e-5
3.36e+1,2.96e-5
3.51e+1,2.88e-5
3.65e+1,4.48e-5
3.79e+1,7.04e-5
3.93e+1,8.76e-5
4.08e+1,8.68e-5
4.22e+1,9.28e-5
4.36e+1,1.47e-4
4.51e+1,2.50e-4
4.65e+1,3.46e-4
4.79e+1,4.06e-4
4.94e+1,5.17e-4
5.08e+1,7.66e-4
5.22e+1,1.01e-3
5.37e+1,1.06e-3
5.51e+1,9.49e-4
5.65e+1,8.83e-4
5.79e+1,8.64e-4
5.94e+1,7.36e-4
6.08e+1,4.70e-4
6.22e+1,2.51e-4
6.37e+1,2.65e-4
6.51e+1,4.78e-4
6.65e+1,6.50e-4
6.80e+1,6.00e-4
6.94e+1,4.04e-4
7.08e+1,2.27e-4
7.23e+1,1.26e-4
7.37e+1,7.35e-5
7.51e+1,4.68e-5
7.66e+1,3.39e-5
7.80e+1,2.47e-5
7.94e+1,1.63e-5
8.08e+1,1.19e-5
8.23e+1,1.25e-5
8.37e+1,1.53e-5
8.51e+1,1.62e-5
8.66e+1,1.32e-5
8.80e+1,8.04e-6
8.94e+1,4.07e-6
9.09e+1,2.96e-6
9.23e+1,4.54e-6
9.37e+1,7.24e-6
9.52e+1,8.83e-6
9.66e+1,8.20e-6
9.80e+1,6.56e-6
9.94e+1,6.00e-6
1.01e+2,6.76e-6
1.02e+2,7.05e-6
1.04e+2,5.77e-6
1.05e+2,3.75e-6
1.07e+2,2.30e-6
1.08e+2,1.78e-6
1.09e+2,1.84e-6
1.11e+2,2.05e-6
1.12e+2,2.40e-6
1.14e+2,3.08e-6
1.15e+2,3.98e-6
1.17e+2,4.43e-6
1.18e+2,3.95e-6
1.19e+2,3.00e-6
1.21e+2,2.20e-6
1.22e+2,1.62e-6
1.24e+2,1.37e-6
1.25e+2,1.70e-6
1.27e+2,2.25e-6
1.28e+2,2.41e-6
1.29e+2,2.18e-6
1.31e+2,2.04e-6
1.32e+2,2.37e-6
1.34e+2,3.30e-6
1.35e+2,4.52e-6
1.37e+2,5.14e-6
1.38e+2,4.43e-6
1.40e+2,2.92e-6
1.41e+2,1.98e-6
1.42e+2,2.10e-6
1.44e+2,2.48e-6
1.45e+2,2.30e-6
1.47e+2,1.72e-6
1.48e+2,1.29e-6
1.50e+2,1.15e-6
