Zeta Potential,Power
-1.48e+2,7.67e-6
-1.47e+2,1.45e-5
-1.45e+2,1.53e-5
-1.44e+2,1.10e-5
-1.42e+2,6.45e-6
-1.41e+2,4.63e-6
-1.39e+2,5.74e-6
-1.38e+2,8.40e-6
-1.37e+2,1.02e-5
-1.35e+2,9.40e-6
-1.34e+2,7.12e-6
-1.32e+2,6.61e-6
-1.31e+2,1.05e-5
-1.29e+2,1.77e-5
-1.28e+2,2.24e-5
-1.27e+2,2.04e-5
-1.25e+2,1.55e-5
-1.24e+2,1.34e-5
-1.22e+2,1.59e-5
-1.21e+2,2.49e-5
-1.19e+2,3.87e-5
-1.18e+2,4.65e-5
-1.17e+2,4.31e-5
-1.15e+2,3.87e-5
-1.14e+2,3.94e-5
-1.12e+2,4.65e-5
-1.11e+2,8.35e-5
-1.09e+2,1.76e-4
-1.08e+2,2.92e-4
-1.07e+2,3.51e-4
-1.05e+2,3.24e-4
-1.04e+2,2.72e-4
-1.02e+2,2.56e-4
-1.01e+2,2.48e-4
-9.94e+1,2.24e-4
-9.80e+1,2.35e-4
-9.66e+1,3.26e-4
-9.51e+1,4.98e-4
-9.37e+1,7.21e-4
-9.23e+1,9.21e-4
-9.08e+1,1.04e-3
-8.94e+1,1.19e-3
-8.80e+1,1.79e-3
-8.65e+1,3.09e-3
-8.51e+1,4.62e-3
-8.37e+1,6.32e-3
-8.22e+1,1.02e-2
-8.08e+1,2.26e-2
-7.94e+1,5.22e-2
-7.80e+1,9.63e-2
-7.65e+1,1.31e-1
-7.51e+1,1.33e-1
-7.37e+1,1.13e-1
-7.22e+1,9.78e-2
-7.08e+1,9.63e-2
-6.94e+1,1.03e-1
-6.79e+1,1.16e-1
-6.65e+1,1.30e-1
-6.51e+1,1.47e-1
-6.37e+1,1.81e-1
-6.22e+1,2.44e-1
-6.08e+1,3.48e-1
-5.94e+1,5.29e-1
-5.79e+1,7.49e-1
-5.65e+1,8.60e-1
-5.51e+1,8.78e-1
-5.36e+1,9.60e-1
-5.22e+1,1.00e+0
-5.08e+1,8.19e-1
-4.93e+1,5.77e-1
-4.79e+1,4.59e-1
-4.65e+1,3.99e-1
-4.51e+1,3.31e-1
-4.36e+1,2.87e-1
-4.22e+1,2.77e-1
-4.08e+1,2.81e-1
-3.93e+1,2.60e-1
-3.79e+1,1.89e-1
-3.65e+1,1.07e-1
-3.50e+1,6.25e-2
-3.36e+1,4.85e-2
-3.22e+1,4.01e-2
-3.08e+1,3.38e-2
-2.93e+1,3.32e-2
-2.79e+1,3.10e-2
-2.65e+1,2.10e-2
-2.50e+1,9.75e-3
-2.36e+1,4.36e-3
-2.22e+1,4.27e-3
-2.07e+1,5.64e-3
-1.93e+1,5.83e-3
-1.79e+1,4.47e-3
-1.64e+1,2.86e-3
-1.50e+1,1.93e-3
-1.36e+1,1.48e-3
-1.22e+1,1.19e-3
-1.07e+1,1.04e-3
-9.30e+0,8.96e-4
-7.87e+0,6.30e-4
-6.44e+0,3.67e-4
-5.01e+0,2.23e-4
-3.58e+0,1.64e-4
-2.15e+0,1.29e-4
-7.15e-1,9.78e-5
7.15e-1,7.15e-5
2.15e+0,6.06e-5
3.58e+0,7.15e-5
5.01e+0,8.80e-5
6.44e+0,8.50e-5
7.87e+0,6.52e-5
9.30e+0,5.17e-5
1.07e+1,4.82e-5
1.22e+1,4.14e-5
1.36e+1,3.03e-5
1.50e+1,2.36e-5
1.64e+1,2.34e-5
1.79e+1,2.72e-5
1.93e+1,3.89e-5
2.07e+1,6.60e-5
2.22e+1,9.82e-5
2.36e+1,1.09e-4
2.50e+1,1.04e-4
2.65e+1,1.17e-4
2.79e+1,1.43e-4
2.93e+1,1.45e-4
3.08e+1,1.34e-4
3.22e+1,1.41e-4
3.36e+1,1.69e-4
3.50e+1,2.24e-4
3.65e+1,3.12e-4
3.79e+1,3.75e-4
3.93e+1,3.47e-4
4.08e+1,2.64e-4
4.22e+1,2.23e-4
4.36e+1,2.85e-4
4.51e+1,4.29e-4
4.65e+1,5.70e-4
4.79e+1,6.35e-4
4.93e+1,6.25e-4
5.08e+1,6.36e-4
5.22e+1,7.55e-4
5.36e+1,8.75e-4
5.51e+1,8.54e-4
5.65e+1,7.91e-4
5.79e+1,8.49e-4
5.94e+1,9.83e-4
6.08e+1,1.01e-3
6.22e+1,8.29e-4
6.37e+1,5.46e-4
6.51e+1,3.44e-4
6.65e+1,2.67e-4
6.79e+1,2.44e-4
6.94e+1,2.20e-4
7.08e+1,1.75e-4
7.22e+1,1.21e-4
7.37e+1,8.68e-5
7.51e+1,7.78e-5
7.65e+1,7.40e-5
7.80e+1,5.98e-5
7.94e+1,3.69e-5
8.08e+1,1.84e-5
8.22e+1,9.78e-6
8.37e+1,6.19e-6
8.51e+1,4.02e-6
8.65e+1,3.66e-6
8.80e+1,5.00e-6
8.94e+1,7.07e-6
9.08e+1,8.49e-6
9.23e+1,8.34e-6
9.37e+1,7.02e-6
9.51e+1,5.29e-6
9.66e+1,3.95e-6
9.80e+1,3.68e-6
9.94e+1,4.05e-6
1.01e+2,3.80e-6
1.02e+2,2.68e-6
1.04e+2,1.52e-6
1.05e+2,1.02e-6
1.07e+2,1.15e-6
1.08e+2,1.78e-6
1.09e+2,2.87e-6
1.11e+2,3.99e-6
1.12e+2,4.32e-6
1.14e+2,3.65e-6
1.15e+2,2.67e-6
1.17e+2,1.84e-6
1.18e+2,1.14e-6
1.19e+2,7.21e-7
1.21e+2,7.53e-7
1.22e+2,9.49e-7
1.24e+2,9.70e-7
1.25e+2,9.45e-7
1.27e+2,1.15e-6
1.28e+2,1.53e-6
1.29e+2,1.81e-6
1.31e+2,1.85e-6
1.32e+2,1.81e-6
1.34e+2,1.88e-6
1.35e+2,2.31e-6
1.37e+2,3.20e-6
1.38e+2,4.16e-6
1.39e+2,4.31e-6
1.41e+2,3.49e-6
1.42e+2,2.50e-6
1.44e+2,2.01e-6
1.45e+2,2.21e-6
1.47e+2,2.97e-6
1.48e+2,3.45e-6
1.49e+2,2.61e-6
1.51e+2,5.14e-7
