Zeta Potential,Power
-1.46e+2,1.32e-5
-1.45e+2,8.79e-6
-1.44e+2,6.63e-6
-1.42e+2,5.89e-6
-1.41e+2,5.02e-6
-1.39e+2,4.27e-6
-1.38e+2,4.30e-6
-1.36e+2,4.73e-6
-1.35e+2,4.83e-6
-1.34e+2,4.71e-6
-1.32e+2,6.06e-6
-1.31e+2,1.04e-5
-1.29e+2,1.73e-5
-1.28e+2,2.73e-5
-1.26e+2,4.12e-5
-1.25e+2,5.30e-5
-1.24e+2,5.63e-5
-1.22e+2,5.44e-5
-1.21e+2,5.43e-5
-1.19e+2,5.54e-5
-1.18e+2,5.13e-5
-1.16e+2,4.15e-5
-1.15e+2,3.34e-5
-1.14e+2,3.12e-5
-1.12e+2,3.37e-5
-1.11e+2,3.99e-5
-1.09e+2,4.67e-5
-1.08e+2,5.41e-5
-1.06e+2,7.22e-5
-1.05e+2,1.01e-4
-1.04e+2,1.24e-4
-1.02e+2,1.47e-4
-1.01e+2,1.84e-4
-9.93e+1,2.53e-4
-9.79e+1,4.29e-4
-9.64e+1,7.98e-4
-9.50e+1,1.44e-3
-9.36e+1,2.37e-3
-9.21e+1,3.28e-3
-9.07e+1,3.87e-3
-8.93e+1,4.11e-3
-8.79e+1,4.10e-3
-8.64e+1,4.02e-3
-8.50e+1,4.26e-3
-8.36e+1,5.25e-3
-8.21e+1,7.55e-3
-8.07e+1,1.19e-2
-7.93e+1,1.85e-2
-7.79e+1,3.12e-2
-7.64e+1,6.41e-2
-7.50e+1,1.23e-1
-7.36e+1,1.73e-1
-7.21e+1,1.83e-1
-7.07e+1,2.19e-1
-6.93e+1,3.97e-1
-6.79e+1,6.80e-1
-6.64e+1,8.59e-1
-6.50e+1,7.96e-1
-6.36e+1,5.80e-1
-6.21e+1,4.04e-1
-6.07e+1,4.25e-1
-5.93e+1,6.67e-1
-5.79e+1,9.14e-1
-5.64e+1,9.40e-1
-5.50e+1,8.51e-1
-5.36e+1,8.87e-1
-5.21e+1,1.00e+0
-5.07e+1,9.50e-1
-4.93e+1,7.04e-1
-4.79e+1,4.62e-1
-4.64e+1,3.70e-1
-4.50e+1,3.60e-1
-4.36e+1,3.03e-1
-4.21e+1,1.95e-1
-4.07e+1,1.06e-1
-3.93e+1,5.85e-2
-3.79e+1,3.70e-2
-3.64e+1,2.35e-2
-3.50e+1,1.29e-2
-3.36e+1,6.65e-3
-3.21e+1,4.06e-3
-3.07e+1,2.79e-3
-2.93e+1,2.04e-3
-2.79e+1,1.88e-3
-2.64e+1,1.90e-3
-2.50e+1,1.67e-3
-2.36e+1,1.26e-3
-2.21e+1,9.59e-4
-2.07e+1,7.97e-4
-1.93e+1,6.35e-4
-1.79e+1,4.08e-4
-1.64e+1,2.04e-4
-1.50e+1,9.79e-5
-1.36e+1,6.90e-5
-1.21e+1,6.98e-5
-1.07e+1,8.35e-5
-9.29e+0,1.20e-4
-7.86e+0,1.70e-4
-6.43e+0,1.93e-4
-5.00e+0,1.79e-4
-3.57e+0,1.57e-4
-2.14e+0,1.55e-4
-7.14e-1,2.11e-4
7.14e-1,3.33e-4
2.14e+0,4.00e-4
3.57e+0,3.16e-4
5.00e+0,1.73e-4
6.43e+0,9.42e-5
7.86e+0,6.80e-5
9.29e+0,4.73e-5
1.07e+1,3.17e-5
1.21e+1,2.98e-5
1.36e+1,3.51e-5
1.50e+1,3.72e-5
1.64e+1,3.17e-5
1.79e+1,2.24e-5
1.93e+1,1.62e-5
2.07e+1,1.63e-5
2.21e+1,1.90e-5
2.36e+1,1.86e-5
2.50e+1,1.56e-5
2.64e+1,1.69e-5
2.79e+1,2.54e-5
2.93e+1,3.45e-5
3.07e+1,3.69e-5
3.21e+1,3.67e-5
3.36e+1,4.01e-5
3.50e+1,4.30e-5
3.64e+1,3.94e-5
3.79e+1,3.92e-5
3.93e+1,6.56e-5
4.07e+1,1.24e-4
4.21e+1,1.81e-4
4.36e+1,2.03e-4
4.50e+1,2.20e-4
4.64e+1,3.26e-4
4.79e+1,5.64e-4
4.93e+1,8.28e-4
5.07e+1,9.73e-4
5.21e+1,1.01e-3
5.36e+1,1.03e-3
5.50e+1,1.09e-3
5.64e+1,1.11e-3
5.79e+1,1.03e-3
5.93e+1,8.53e-4
6.07e+1,6.26e-4
6.21e+1,4.11e-4
6.36e+1,2.61e-4
6.50e+1,2.02e-4
6.64e+1,2.56e-4
6.79e+1,4.23e-4
6.93e+1,6.01e-4
7.07e+1,6.23e-4
7.21e+1,4.52e-4
7.36e+1,2.32e-4
7.50e+1,9.41e-5
7.64e+1,4.91e-5
7.79e+1,4.75e-5
7.93e+1,4.99e-5
8.07e+1,4.39e-5
8.21e+1,3.54e-5
8.36e+1,3.20e-5
8.50e+1,3.05e-5
8.64e+1,2.41e-5
8.79e+1,1.51e-5
8.93e+1,1.03e-5
9.07e+1,1.15e-5
9.21e+1,1.48e-5
9.36e+1,1.53e-5
9.50e+1,1.16e-5
9.64e+1,6.61e-6
9.79e+1,3.71e-6
9.93e+1,2.92e-6
1.01e+2,2.65e-6
1.02e+2,2.16e-6
1.04e+2,1.55e-6
1.05e+2,1.07e-6
1.06e+2,8.64e-7
1.08e+2,1.06e-6
1.09e+2,1.60e-6
1.11e+2,2.14e-6
1.12e+2,2.23e-6
1.14e+2,1.92e-6
1.15e+2,1.59e-6
1.16e+2,1.42e-6
1.18e+2,1.35e-6
1.19e+2,1.52e-6
1.21e+2,2.19e-6
1.22e+2,3.15e-6
1.24e+2,3.81e-6
1.25e+2,3.67e-6
1.26e+2,2.72e-6
1.28e+2,1.59e-6
1.29e+2,9.27e-7
1.31e+2,7.82e-7
1.32e+2,8.18e-7
1.34e+2,8.67e-7
1.35e+2,8.69e-7
1.36e+2,8.56e-7
1.38e+2,1.05e-6
1.39e+2,1.60e-6
1.41e+2,2.37e-6
1.42e+2,2.99e-6
1.44e+2,3.22e-6
1.45e+2,3.14e-6
1.46e+2,2.91e-6
1.48e+2,2.39e-6
1.49e+2,1.62e-6
1.51e+2,1.07e-6
1.52e+2,9.32e-7
