Zeta Potential,Power
-1.49e+2,2.20e-2
-1.48e+2,2.27e-2
-1.47e+2,2.35e-2
-1.45e+2,2.43e-2
-1.44e+2,2.52e-2
-1.42e+2,2.61e-2
-1.41e+2,2.70e-2
-1.39e+2,2.80e-2
-1.38e+2,2.91e-2
-1.36e+2,3.02e-2
-1.35e+2,3.14e-2
-1.33e+2,3.26e-2
-1.32e+2,3.40e-2
-1.31e+2,3.54e-2
-1.29e+2,3.69e-2
-1.28e+2,3.85e-2
-1.26e+2,4.02e-2
-1.25e+2,4.20e-2
-1.23e+2,4.39e-2
-1.22e+2,4.60e-2
-1.20e+2,4.82e-2
-1.19e+2,5.06e-2
-1.17e+2,5.31e-2
-1.16e+2,5.59e-2
-1.15e+2,5.88e-2
-1.13e+2,6.20e-2
-1.12e+2,6.55e-2
-1.10e+2,6.92e-2
-1.09e+2,7.33e-2
-1.07e+2,7.77e-2
-1.06e+2,8.26e-2
-1.04e+2,8.79e-2
-1.03e+2,9.37e-2
-1.01e+2,1.00e-1
-1.00e+2,1.07e-1
-9.85e+1,1.15e-1
-9.71e+1,1.23e-1
-9.56e+1,1.33e-1
-9.42e+1,1.43e-1
-9.27e+1,1.55e-1
-9.13e+1,1.68e-1
-8.98e+1,1.83e-1
-8.83e+1,2.00e-1
-8.69e+1,2.19e-1
-8.54e+1,2.40e-1
-8.40e+1,2.65e-1
-8.25e+1,2.92e-1
-8.11e+1,3.24e-1
-7.96e+1,3.60e-1
-7.82e+1,4.01e-1
-7.67e+1,4.48e-1
-7.53e+1,5.00e-1
-7.38e+1,5.59e-1
-7.23e+1,6.23e-1
-7.09e+1,6.92e-1
-6.94e+1,7.64e-1
-6.80e+1,8.35e-1
-6.65e+1,9.00e-1
-6.51e+1,9.53e-1
-6.36e+1,9.88e-1
-6.22e+1,1.00e+0
-6.07e+1,9.88e-1
-5.92e+1,9.53e-1
-5.78e+1,9.00e-1
-5.63e+1,8.35e-1
-5.49e+1,7.64e-1
-5.34e+1,6.92e-1
-5.20e+1,6.23e-1
-5.05e+1,5.59e-1
-4.91e+1,5.00e-1
-4.76e+1,4.48e-1
-4.61e+1,4.01e-1
-4.47e+1,3.60e-1
-4.32e+1,3.24e-1
-4.18e+1,2.92e-1
-4.03e+1,2.65e-1
-3.89e+1,2.40e-1
-3.74e+1,2.19e-1
-3.60e+1,2.00e-1
-3.45e+1,1.83e-1
-3.31e+1,1.68e-1
-3.16e+1,1.55e-1
-3.01e+1,1.43e-1
-2.87e+1,1.33e-1
-2.72e+1,1.23e-1
-2.58e+1,1.15e-1
-2.43e+1,1.07e-1
-2.29e+1,1.00e-1
-2.14e+1,9.37e-2
-2.00e+1,8.79e-2
-1.85e+1,8.26e-2
-1.70e+1,7.77e-2
-1.56e+1,7.33e-2
-1.41e+1,6.92e-2
-1.27e+1,6.55e-2
-1.12e+1,6.20e-2
-9.77e+0,5.88e-2
-8.32e+0,5.59e-2
-6.86e+0,5.31e-2
-5.41e+0,5.06e-2
-3.95e+0,4.82e-2
-2.50e+0,4.60e-2
-1.04e+0,4.39e-2
4.15e-1,4.20e-2
1.87e+0,4.02e-2
3.33e+0,3.85e-2
4.78e+0,3.69e-2
6.24e+0,3.54e-2
7.69e+0,3.40e-2
9.15e+0,3.26e-2
1.06e+1,3.14e-2
1.21e+1,3.02e-2
1.35e+1,2.91e-2
1.50e+1,2.80e-2
1.64e+1,2.70e-2
1.79e+1,2.61e-2
1.93e+1,2.52e-2
2.08e+1,2.43e-2
2.22e+1,2.35e-2
2.37e+1,2.27e-2
2.52e+1,2.20e-2
2.66e+1,2.13e-2
2.81e+1,2.06e-2
2.95e+1,2.00e-2
3.10e+1,1.94e-2
3.24e+1,1.88e-2
3.39e+1,1.83e-2
3.53e+1,1.77e-2
3.68e+1,1.72e-2
3.82e+1,1.67e-2
3.97e+1,1.63e-2
4.12e+1,1.58e-2
4.26e+1,1.54e-2
4.41e+1,1.50e-2
4.55e+1,1.46e-2
4.70e+1,1.42e-2
4.84e+1,1.38e-2
4.99e+1,1.35e-2
5.13e+1,1.31e-2
5.28e+1,1.28e-2
5.43e+1,1.25e-2
5.57e+1,1.22e-2
5.72e+1,1.19e-2
5.86e+1,1.16e-2
6.01e+1,1.14e-2
6.15e+1,1.11e-2
6.30e+1,1.08e-2
6.44e+1,1.06e-2
6.59e+1,1.04e-2
6.74e+1,1.01e-2
6.88e+1,9.90e-3
7.03e+1,9.69e-3
7.17e+1,9.48e-3
7.32e+1,9.28e-3
7.46e+1,9.08e-3
7.61e+1,8.90e-3
7.75e+1,8.71e-3
7.90e+1,8.54e-3
8.04e+1,8.36e-3
8.19e+1,8.20e-3
8.34e+1,8.04e-3
8.48e+1,7.88e-3
8.63e+1,7.73e-3
8.77e+1,7.58e-3
8.92e+1,7.43e-3
9.06e+1,7.29e-3
9.21e+1,7.16e-3
9.35e+1,7.03e-3
9.50e+1,6.90e-3
9.65e+1,6.77e-3
9.79e+1,6.65e-3
9.94e+1,6.53e-3
1.01e+2,6.42e-3
1.02e+2,6.30e-3
1.04e+2,6.19e-3
1.05e+2,6.09e-3
1.07e+2,5.98e-3
1.08e+2,5.88e-3
1.10e+2,5.78e-3
1.11e+2,5.69e-3
1.12e+2,5.59e-3
1.14e+2,5.50e-3
1.15e+2,5.41e-3
1.17e+2,5.33e-3
1.18e+2,5.24e-3
1.20e+2,5.16e-3
1.21e+2,5.08e-3
1.23e+2,5.00e-3
1.24e+2,4.92e-3
1.26e+2,4.84e-3
1.27e+2,4.77e-3
1.28e+2,4.70e-3
1.30e+2,4.63e-3
1.31e+2,4.56e-3
1.33e+2,4.49e-3
1.34e+2,4.43e-3
1.36e+2,4.36e-3
1.37e+2,4.30e-3
1.39e+2,4.24e-3
1.40e+2,4.18e-3
1.42e+2,4.12e-3
1.43e+2,4.06e-3
1.44e+2,4.00e-3
1.46e+2,3.95e-3
1.47e+2,3.89e-3
1.49e+2,3.84e-3
1.50e+2,3.79e-3
1.52e+2,3.73e-3
1.53e+2,3.68e-3
1.55e+2,3.64e-3
