Zeta Potential,Power
-1.47e+2,3.16e-7
-1.45e+2,6.55e-7
-1.44e+2,1.24e-6
-1.42e+2,2.02e-6
-1.41e+2,2.75e-6
-1.40e+2,3.95e-6
-1.38e+2,7.65e-6
-1.37e+2,1.47e-5
-1.35e+2,2.05e-5
-1.34e+2,1.88e-5
-1.33e+2,1.14e-5
-1.31e+2,6.03e-6
-1.30e+2,5.90e-6
-1.28e+2,8.50e-6
-1.27e+2,1.37e-5
-1.26e+2,2.90e-5
-1.24e+2,5.62e-5
-1.23e+2,7.50e-5
-1.21e+2,6.49e-5
-1.20e+2,3.79e-5
-1.18e+2,1.99e-5
-1.17e+2,1.56e-5
-1.16e+2,1.53e-5
-1.14e+2,1.57e-5
-1.13e+2,1.97e-5
-1.11e+2,2.83e-5
-1.10e+2,4.12e-5
-1.09e+2,6.11e-5
-1.07e+2,9.31e-5
-1.06e+2,1.37e-4
-1.04e+2,1.76e-4
-1.03e+2,1.90e-4
-1.01e+2,1.83e-4
-1.00e+2,1.63e-4
-9.86e+1,1.35e-4
-9.72e+1,1.11e-4
-9.58e+1,1.08e-4
-9.44e+1,1.32e-4
-9.30e+1,2.00e-4
-9.16e+1,5.33e-4
-9.02e+1,1.89e-3
-8.87e+1,4.79e-3
-8.73e+1,7.74e-3
-8.59e+1,8.37e-3
-8.45e+1,7.00e-3
-8.31e+1,6.35e-3
-8.17e+1,7.82e-3
-8.03e+1,1.07e-2
-7.89e+1,1.40e-2
-7.74e+1,1.67e-2
-7.60e+1,1.75e-2
-7.46e+1,1.75e-2
-7.32e+1,2.51e-2
-7.18e+1,4.99e-2
-7.04e+1,8.33e-2
-6.90e+1,9.76e-2
-6.75e+1,9.49e-2
-6.61e+1,1.41e-1
-6.47e+1,2.90e-1
-6.33e+1,4.84e-1
-6.19e+1,6.15e-1
-6.05e+1,6.35e-1
-5.91e+1,5.53e-1
-5.76e+1,4.32e-1
-5.62e+1,3.91e-1
-5.48e+1,4.88e-1
-5.34e+1,6.32e-1
-5.20e+1,6.71e-1
-5.06e+1,5.81e-1
-4.92e+1,5.33e-1
-4.77e+1,7.02e-1
-4.63e+1,9.71e-1
-4.49e+1,1.00e+0
-4.35e+1,7.04e-1
-4.21e+1,3.64e-1
-4.07e+1,1.88e-1
-3.93e+1,1.38e-1
-3.78e+1,1.25e-1
-3.64e+1,1.13e-1
-3.50e+1,1.01e-1
-3.36e+1,8.87e-2
-3.22e+1,6.28e-2
-3.08e+1,3.04e-2
-2.94e+1,1.09e-2
-2.79e+1,7.55e-3
-2.65e+1,1.54e-2
-2.51e+1,3.43e-2
-2.37e+1,5.70e-2
-2.23e+1,6.28e-2
-2.09e+1,4.38e-2
-1.95e+1,1.82e-2
-1.80e+1,4.27e-3
-1.66e+1,8.85e-4
-1.52e+1,5.50e-4
-1.38e+1,4.15e-4
-1.24e+1,3.47e-4
-1.10e+1,3.15e-4
-9.56e+0,2.58e-4
-8.15e+0,1.77e-4
-6.73e+0,1.11e-4
-5.32e+0,1.00e-4
-3.91e+0,1.32e-4
-2.49e+0,1.47e-4
-1.08e+0,1.18e-4
3.36e-1,8.31e-5
1.75e+0,6.92e-5
