Zeta Potential,Power
-1.47e+2,3.66e-6
-1.45e+2,4.46e-6
-1.44e+2,5.15e-6
-1.42e+2,6.00e-6
-1.41e+2,7.04e-6
-1.40e+2,7.42e-6
-1.38e+2,6.24e-6
-1.37e+2,4.10e-6
-1.35e+2,3.53e-6
-1.34e+2,1.08e-5
-1.32e+2,3.35e-5
-1.31e+2,6.44e-5
-1.30e+2,7.72e-5
-1.28e+2,5.95e-5
-1.27e+2,3.18e-5
-1.25e+2,1.63e-5
-1.24e+2,1.25e-5
-1.22e+2,1.22e-5
-1.21e+2,1.55e-5
-1.19e+2,2.60e-5
-1.18e+2,3.77e-5
-1.17e+2,3.92e-5
-1.15e+2,3.10e-5
-1.14e+2,2.52e-5
-1.12e+2,2.84e-5
-1.11e+2,3.47e-5
-1.09e+2,4.10e-5
-1.08e+2,5.45e-5
-1.07e+2,7.24e-5
-1.05e+2,7.75e-5
-1.04e+2,6.90e-5
-1.02e+2,8.50e-5
-1.01e+2,1.84e-4
-9.94e+1,3.66e-4
-9.79e+1,5.21e-4
-9.65e+1,5.77e-4
-9.51e+1,6.49e-4
-9.36e+1,9.72e-4
-9.22e+1,2.20e-3
-9.07e+1,5.44e-3
-8.93e+1,9.95e-3
-8.79e+1,1.21e-2
-8.64e+1,1.08e-2
-8.50e+1,9.90e-3
-8.36e+1,1.15e-2
-8.21e+1,1.29e-2
-8.07e+1,1.23e-2
-7.93e+1,1.11e-2
-7.78e+1,1.34e-2
-7.64e+1,2.67e-2
-7.49e+1,5.40e-2
-7.35e+1,8.54e-2
-7.21e+1,1.07e-1
-7.06e+1,1.20e-1
-6.92e+1,1.39e-1
-6.78e+1,1.76e-1
-6.63e+1,2.22e-1
-6.49e+1,2.37e-1
-6.35e+1,2.12e-1
-6.20e+1,2.12e-1
-6.06e+1,3.21e-1
-5.91e+1,5.66e-1
-5.77e+1,8.47e-1
-5.63e+1,9.94e-1
-5.48e+1,1.00e+0
-5.34e+1,9.88e-1
-5.20e+1,9.16e-1
-5.05e+1,7.08e-1
-4.91e+1,5.42e-1
-4.76e+1,5.70e-1
-4.62e+1,6.10e-1
-4.48e+1,4.72e-1
-4.33e+1,2.51e-1
-4.19e+1,1.07e-1
-4.05e+1,5.04e-2
-3.90e+1,3.03e-2
-3.76e+1,2.52e-2
-3.62e+1,2.39e-2
-3.47e+1,1.69e-2
-3.33e+1,7.80e-3
-3.18e+1,2.86e-3
-3.04e+1,1.65e-3
-2.90e+1,1.76e-3
-2.75e+1,2.48e-3
-2.61e+1,3.43e-3
-2.47e+1,4.26e-3
-2.32e+1,4.97e-3
-2.18e+1,5.08e-3
-2.04e+1,3.99e-3
-1.89e+1,2.28e-3
-1.75e+1,1.02e-3
-1.60e+1,4.71e-4
-1.46e+1,3.08e-4
-1.32e+1,2.50e-4
-1.17e+1,2.12e-4
-1.03e+1,2.09e-4
-8.86e+0,2.19e-4
-7.42e+0,1.93e-4
-5.99e+0,1.65e-4
-4.55e+0,2.19e-4
-3.11e+0,3.47e-4
-1.68e+0,4.38e-4
-2.39e-1,4.76e-4
1.20e+0,5.68e-4
2.63e+0,6.58e-4
4.07e+0,5.61e-4
5.51e+0,3.15e-4
6.94e+0,1.22e-4
8.38e+0,5.22e-5
9.82e+0,4.51e-5
1.13e+1,5.21e-5
1.27e+1,6.29e-5
1.41e+1,7.88e-5
1.56e+1,9.23e-5
1.70e+1,8.87e-5
1.84e+1,6.64e-5
1.99e+1,4.22e-5
2.13e+1,3.22e-5
2.27e+1,3.69e-5
2.42e+1,4.28e-5
2.56e+1,3.70e-5
2.71e+1,2.27e-5
2.85e+1,1.33e-5
2.99e+1,1.46e-5
3.14e+1,1.99e-5
3.28e+1,2.60e-5
3.42e+1,5.01e-5
3.57e+1,1.08e-4
3.71e+1,1.70e-4
3.85e+1,1.86e-4
4.00e+1,1.55e-4
4.14e+1,1.19e-4
4.29e+1,1.07e-4
4.43e+1,1.35e-4
4.57e+1,2.28e-4
4.72e+1,3.75e-4
4.86e+1,4.96e-4
5.00e+1,5.43e-4
5.15e+1,5.32e-4
5.29e+1,4.80e-4
5.44e+1,4.23e-4
5.58e+1,4.16e-4
5.72e+1,4.54e-4
5.87e+1,5.06e-4
6.01e+1,5.57e-4
6.15e+1,5.69e-4
6.30e+1,5.02e-4
6.44e+1,3.99e-4
6.58e+1,3.36e-4
6.73e+1,3.12e-4
6.87e+1,2.85e-4
7.02e+1,2.42e-4
