Zeta Potential,Power
-1.50e+2,1.42e-6
-1.48e+2,1.14e-5
-1.47e+2,1.72e-5
-1.45e+2,1.71e-5
-1.44e+2,1.52e-5
-1.43e+2,1.72e-5
-1.41e+2,2.42e-5
-1.40e+2,3.16e-5
-1.38e+2,3.18e-5
-1.37e+2,2.31e-5
-1.35e+2,1.31e-5
-1.34e+2,9.19e-6
-1.33e+2,1.15e-5
-1.31e+2,1.73e-5
-1.30e+2,2.51e-5
-1.28e+2,3.29e-5
-1.27e+2,3.89e-5
-1.25e+2,4.66e-5
-1.24e+2,6.21e-5
-1.23e+2,8.50e-5
-1.21e+2,1.26e-4
-1.20e+2,2.21e-4
-1.18e+2,3.63e-4
-1.17e+2,4.49e-4
-1.15e+2,3.86e-4
-1.14e+2,2.35e-4
-1.13e+2,1.34e-4
-1.11e+2,1.39e-4
-1.10e+2,2.16e-4
-1.08e+2,3.48e-4
-1.07e+2,5.43e-4
-1.05e+2,7.38e-4
-1.04e+2,8.14e-4
-1.03e+2,7.34e-4
-1.01e+2,5.78e-4
-9.97e+1,5.41e-4
-9.82e+1,8.24e-4
-9.68e+1,1.35e-3
-9.54e+1,1.77e-3
-9.40e+1,2.11e-3
-9.25e+1,4.54e-3
-9.11e+1,1.54e-2
-8.97e+1,3.97e-2
-8.82e+1,6.76e-2
-8.68e+1,7.83e-2
-8.54e+1,6.59e-2
-8.39e+1,4.85e-2
-8.25e+1,4.13e-2
-8.11e+1,3.98e-2
-7.96e+1,3.82e-2
-7.82e+1,4.34e-2
-7.68e+1,6.11e-2
-7.54e+1,8.93e-2
-7.39e+1,1.40e-1
-7.25e+1,2.32e-1
-7.11e+1,3.36e-1
-6.96e+1,3.71e-1
-6.82e+1,3.25e-1
-6.68e+1,3.06e-1
-6.53e+1,4.27e-1
-6.39e+1,6.58e-1
-6.25e+1,8.70e-1
-6.10e+1,9.84e-1
-5.96e+1,1.00e+0
-5.82e+1,9.28e-1
-5.68e+1,8.00e-1
-5.53e+1,6.51e-1
-5.39e+1,5.21e-1
-5.25e+1,5.12e-1
-5.10e+1,6.75e-1
-4.96e+1,8.51e-1
-4.82e+1,8.35e-1
-4.67e+1,6.40e-1
-4.53e+1,4.09e-1
-4.39e+1,2.33e-1
-4.24e+1,1.61e-1
-4.10e+1,2.03e-1
-3.96e+1,2.63e-1
-3.82e+1,2.38e-1
-3.67e+1,1.43e-1
-3.53e+1,6.03e-2
-3.39e+1,2.28e-2
-3.24e+1,1.08e-2
-3.10e+1,8.06e-3
-2.96e+1,9.29e-3
-2.81e+1,1.10e-2
-2.67e+1,1.15e-2
-2.53e+1,1.08e-2
-2.38e+1,8.96e-3
-2.24e+1,6.22e-3
-2.10e+1,3.63e-3
-1.96e+1,1.94e-3
-1.81e+1,1.16e-3
-1.67e+1,1.01e-3
-1.53e+1,1.09e-3
-1.38e+1,1.01e-3
-1.24e+1,7.18e-4
-1.10e+1,5.00e-4
-9.54e+0,4.86e-4
-8.11e+0,4.93e-4
-6.68e+0,3.66e-4
-5.25e+0,2.20e-4
-3.82e+0,2.60e-4
-2.38e+0,4.76e-4
-9.54e-1,6.19e-4
