Zeta Potential,Power
-1.52e+2,1.06e-2
-1.50e+2,1.13e-2
-1.49e+2,1.20e-2
-1.47e+2,1.27e-2
-1.46e+2,1.35e-2
-1.45e+2,1.44e-2
-1.43e+2,1.54e-2
-1.42e+2,1.65e-2
-1.40e+2,1.78e-2
-1.39e+2,1.91e-2
-1.37e+2,2.07e-2
-1.36e+2,2.24e-2
-1.34e+2,2.43e-2
-1.33e+2,2.65e-2
-1.31e+2,2.90e-2
-1.30e+2,3.19e-2
-1.28e+2,3.52e-2
-1.27e+2,3.91e-2
-1.26e+2,4.36e-2
-1.24e+2,4.90e-2
-1.23e+2,5.53e-2
-1.21e+2,6.30e-2
-1.20e+2,7.24e-2
-1.18e+2,8.39e-2
-1.17e+2,9.82e-2
-1.15e+2,1.16e-1
-1.14e+2,1.40e-1
-1.12e+2,1.71e-1
-1.11e+2,2.12e-1
-1.10e+2,2.68e-1
-1.08e+2,3.45e-1
-1.07e+2,4.52e-1
-1.05e+2,5.94e-1
-1.04e+2,7.67e-1
-1.02e+2,9.29e-1
-1.01e+2,1.00e+0
-9.93e+1,9.29e-1
-9.79e+1,7.67e-1
-9.64e+1,5.94e-1
-9.50e+1,4.52e-1
-9.35e+1,3.45e-1
-9.20e+1,2.68e-1
-9.06e+1,2.12e-1
-8.91e+1,1.71e-1
-8.77e+1,1.40e-1
-8.62e+1,1.16e-1
-8.48e+1,9.82e-2
-8.33e+1,8.39e-2
-8.18e+1,7.24e-2
-8.04e+1,6.30e-2
-7.89e+1,5.53e-2
-7.75e+1,4.90e-2
-7.60e+1,4.36e-2
-7.46e+1,3.91e-2
-7.31e+1,3.52e-2
-7.16e+1,3.19e-2
-7.02e+1,2.90e-2
-6.87e+1,2.65e-2
-6.73e+1,2.43e-2
-6.58e+1,2.24e-2
-6.43e+1,2.07e-2
-6.29e+1,1.91e-2
-6.14e+1,1.78e-2
-6.00e+1,1.65e-2
-5.85e+1,1.54e-2
-5.71e+1,1.44e-2
-5.56e+1,1.35e-2
-5.41e+1,1.27e-2
-5.27e+1,1.20e-2
-5.12e+1,1.13e-2
-4.98e+1,1.06e-2
-4.83e+1,1.01e-2
-4.69e+1,9.54e-3
-4.54e+1,9.05e-3
-4.39e+1,8.59e-3
-4.25e+1,8.17e-3
-4.10e+1,7.78e-3
-3.96e+1,7.42e-3
-3.81e+1,7.08e-3
-3.67e+1,6.76e-3
-3.52e+1,6.47e-3
-3.37e+1,6.19e-3
-3.23e+1,5.93e-3
-3.08e+1,5.69e-3
-2.94e+1,5.46e-3
-2.79e+1,5.25e-3
-2.64e+1,5.04e-3
-2.50e+1,4.85e-3
-2.35e+1,4.67e-3
-2.21e+1,4.50e-3
-2.06e+1,4.34e-3
-1.92e+1,4.19e-3
-1.77e+1,4.04e-3
-1.62e+1,3.90e-3
-1.48e+1,3.77e-3
-1.33e+1,3.65e-3
-1.19e+1,3.53e-3
-1.04e+1,3.42e-3
-8.96e+0,3.31e-3
-7.50e+0,3.21e-3
-6.04e+0,3.11e-3
-4.58e+0,3.02e-3
-3.13e+0,2.93e-3
-1.67e+0,2.84e-3
-2.10e-1,2.76e-3
1.25e+0,2.68e-3
2.71e+0,2.61e-3
4.16e+0,2.54e-3
5.62e+0,2.47e-3
7.08e+0,2.40e-3
8.54e+0,2.34e-3
9.99e+0,2.28e-3
1.15e+1,2.22e-3
1.29e+1,2.16e-3
1.44e+1,2.11e-3
1.58e+1,2.06e-3
1.73e+1,2.01e-3
1.87e+1,1.96e-3
2.02e+1,1.91e-3
2.17e+1,1.86e-3
2.31e+1,1.82e-3
2.46e+1,1.78e-3
2.60e+1,1.74e-3
2.75e+1,1.70e-3
2.89e+1,1.66e-3
3.04e+1,1.62e-3
3.19e+1,1.59e-3
3.33e+1,1.56e-3
3.48e+1,1.52e-3
3.62e+1,1.49e-3
3.77e+1,1.46e-3
3.91e+1,1.43e-3
4.06e+1,1.40e-3
4.21e+1,1.37e-3
4.35e+1,1.34e-3
4.50e+1,1.32e-3
4.64e+1,1.29e-3
4.79e+1,1.27e-3
4.94e+1,1.24e-3
5.08e+1,1.22e-3
5.23e+1,1.19e-3
5.37e+1,1.17e-3
5.52e+1,1.15e-3
5.66e+1,1.13e-3
5.81e+1,1.11e-3
5.96e+1,1.09e-3
6.10e+1,1.07e-3
6.25e+1,1.05e-3
6.39e+1,1.03e-3
6.54e+1,1.01e-3
6.68e+1,9.96e-4
6.83e+1,9.79e-4
6.98e+1,9.62e-4
7.12e+1,9.46e-4
7.27e+1,9.30e-4
7.41e+1,9.15e-4
7.56e+1,9.00e-4
7.70e+1,8.85e-4
7.85e+1,8.71e-4
8.00e+1,8.57e-4
8.14e+1,8.43e-4
8.29e+1,8.30e-4
8.43e+1,8.17e-4
8.58e+1,8.04e-4
8.72e+1,7.92e-4
8.87e+1,7.79e-4
9.02e+1,7.68e-4
9.16e+1,7.56e-4
9.31e+1,7.45e-4
9.45e+1,7.34e-4
9.60e+1,7.23e-4
9.75e+1,7.12e-4
9.89e+1,7.02e-4
1.00e+2,6.92e-4
1.02e+2,6.82e-4
1.03e+2,6.72e-4
1.05e+2,6.63e-4
1.06e+2,6.53e-4
1.08e+2,6.44e-4
1.09e+2,6.35e-4
1.11e+2,6.27e-4
1.12e+2,6.18e-4
1.13e+2,6.10e-4
1.15e+2,6.01e-4
1.16e+2,5.93e-4
1.18e+2,5.86e-4
1.19e+2,5.78e-4
1.21e+2,5.70e-4
1.22e+2,5.63e-4
1.24e+2,5.56e-4
1.25e+2,5.48e-4
1.27e+2,5.41e-4
1.28e+2,5.35e-4
1.30e+2,5.28e-4
1.31e+2,5.21e-4
1.32e+2,5.15e-4
1.34e+2,5.08e-4
1.35e+2,5.02e-4
1.37e+2,4.96e-4
1.38e+2,4.90e-4
1.40e+2,4.84e-4
1.41e+2,4.78e-4
1.43e+2,4.72e-4
1.44e+2,4.67e-4
1.46e+2,4.61e-4
1.47e+2,4.56e-4
1.48e+2,4.51e-4
1.50e+2,4.45e-4
1.51e+2,4.40e-4
1.53e+2,4.35e-4
